date,description,counterparty,transaction_type,vat_treatment,value_excl_vat,currency,has_valid_tax_invoice,customs_bill_of_entry_ref,adjustment_target,adjustment_reason,vat_amount_override
2025-11-02,Industrial machinery from South Africa,Overseas Supplier,import,import,23369.27,USD,,BOE-2025-1001,,,
2025-11-06,Motor vehicle spares,Kwekwe Manufacturing Ltd,sale,standard,7100.8,ZWG,,,,,
2025-11-08,Public transport fares,Gweru Construction Co,sale,exempt,824.3,USD,,,,,
2025-11-10,Export of horticultural produce,Bulawayo Steel Fabricators,sale,zero_rated,11985.15,ZWG,,,,,
2025-11-11,Printing services,Gweru Construction Co,purchase,standard,1336.09,ZWG,TRUE,,,,
2025-11-11,Cleaning services,Mutare Border Traders,purchase,standard,1692.69,USD,TRUE,,,,
2025-11-14,Printing services,Highfield Retail Traders,sale,standard,878.05,USD,,,,,
2025-11-15,Cement,Highfield Retail Traders,sale,standard,5462.09,USD,,,,,
2025-11-15,Office furniture,Victoria Falls Tourism Group,sale,standard,1710.88,ZWG,,,,,
2025-11-15,Cleaning services,Kwekwe Manufacturing Ltd,sale,standard,2333.8,USD,,,,,
2025-11-16,Export of horticultural produce,Victoria Falls Tourism Group,sale,zero_rated,8315.17,ZWG,,,,,
2025-11-16,Industrial machinery from South Africa,Overseas Supplier,import,import,7540.05,EUR,,BOE-2025-1002,,,
2025-11-23,Printing services,Kwekwe Manufacturing Ltd,sale,standard,2226.49,USD,,,,,
2025-11-24,Textbooks and teaching materials,Bulawayo Steel Fabricators,purchase,exempt,947.25,USD,TRUE,,,,
2025-11-25,Motor vehicle spares,Masvingo Farmers Co-op,purchase,standard,3850.54,ZWG,TRUE,,,,
2025-11-26,Export of horticultural produce,Masvingo Farmers Co-op,sale,zero_rated,2571.64,USD,,,,,
2025-11-28,Medical consultation fees,Masvingo Farmers Co-op,sale,exempt,315.25,USD,,,,,
2025-12-01,Private-use apportionment on company vehicle fuel,N/A,adjustment,adjustment,0,USD,,,input_tax,apportionment_private_use,-57.61
2025-12-03,Maize seed,Highfield Retail Traders,sale,zero_rated,11458.84,USD,,,,,
2025-12-03,Tuition fees,Harare North Logistics,sale,exempt,4255.85,USD,,,,,
2025-12-03,Textbooks and teaching materials,Kwekwe Manufacturing Ltd,purchase,exempt,538.69,USD,TRUE,,,,
2025-12-05,Credit note issued for returned goods,Bulawayo Steel Fabricators,adjustment,adjustment,0,USD,,,output_tax,credit_note_issued,-18.99
2025-12-06,Packaging materials for export produce,Mbare Wholesalers (Pvt) Ltd,purchase,standard,1424.51,USD,TRUE,,,,
2025-12-07,Paint and hardware,Highfield Retail Traders,purchase,standard,370.36,USD,TRUE,,,,
2025-12-08,Security services,Mbare Wholesalers (Pvt) Ltd,sale,standard,383.91,USD,,,,,
2025-12-09,Packaging materials for export produce,Highfield Retail Traders,purchase,standard,892.58,USD,TRUE,,,,
2025-12-09,Packaging materials for export produce,Masvingo Farmers Co-op,purchase,standard,1152.41,USD,TRUE,,,,
2025-12-11,Laptops and IT equipment,Mbare Wholesalers (Pvt) Ltd,sale,standard,5971.17,USD,,,,,
